frequency,x,y,z
0,0,0,0
6.4,0.0065,0.0067,0.0021
12.9,0.0065,0.0067,0.0021
19.4,0.0048,0.0033,0.004
25.9,0.0045,0.0032,0.0063
32.3,0.0059,0.003,0.0049
38.8,0.0084,0.0089,0.0046
45.3,0.0105,0.013,0.0058
51.8,0.0157,0.0096,0.0079
58.2,0.0302,0.0134,0.0156
64.7,0.02,0.008,0.0088
71.2,0.0128,0.0067,0.0027
77.7,0.0081,0.0101,0.0026
84.1,0.0043,0.0064,0.0026
90.6,0.0036,0.0058,0.0029
97.1,0.0023,0.0052,0.0022
103.6,0.0025,0.0044,0.0039
110,0.0059,0.0071,0.0064
116.5,0.025,0.0257,0.0172
123,0.0249,0.0257,0.0171
129.5,0.0068,0.0075,0.005
135.9,0.0024,0.0032,0.0033
142.4,0.0028,0.0035,0.0029
148.9,0.0032,0.0036,0.0025
155.4,0.0037,0.0037,0.0021
161.8,0.0041,0.0031,0.0017
168.3,0.0056,0.003,0.0022
174.8,0.0108,0.0033,0.0029
181.3,0.0096,0.0031,0.0028
187.7,0.0053,0.0041,0.0039
194.2,0.0051,0.0046,0.0048
200.7,0.0062,0.0047,0.0049
207.2,0.0054,0.0052,0.0051
213.6,0.0029,0.0053,0.0048
220.1,0.0022,0.0069,0.0047
226.6,0.0034,0.0106,0.0042
233.1,0.0054,0.0271,0.0043
239.5,0.0085,0.0541,0.0044
246,0.0121,0.0449,0.0034
252.5,0.0183,0.0355,0.0025
259,0.0238,0.0275,0.0034
265.4,0.0291,0.0291,0.0047
271.9,0.0302,0.0254,0.0047
278.4,0.0176,0.0158,0.0043
284.9,0.0138,0.0128,0.0052
291.3,0.0175,0.0108,0.0052
297.8,0.014,0.0092,0.0037
304.3,0.0072,0.0067,0.003
310.8,0.0068,0.007,0.0039
317.2,0.0051,0.0086,0.005
323.7,0.0044,0.0084,0.0067
330.2,0.006,0.0095,0.007
336.7,0.0071,0.009,0.0058
343.1,0.0054,0.0062,0.0036
349.6,0.0026,0.0029,0.0016
356.1,0.0026,0.0023,0.0015
362.6,0.003,0.0022,0.0021
369,0.0032,0.0028,0.0028
375.5,0.0042,0.0036,0.0028
382,0.0057,0.0036,0.0031
388.5,0.0058,0.0033,0.0036
394.9,0.0064,0.0039,0.0044
401.4,0.0074,0.0042,0.0046
407.9,0.0073,0.0039,0.0048
414.3,0.0053,0.0027,0.0032
420.8,0.0046,0.0015,0.0021
427.3,0.0051,0.001,0.0023
433.8,0.0038,0.001,0.0018
440.2,0.003,0.001,0.0017
446.7,0.0021,0.0011,0.0016
453.2,0.0017,0.0011,0.002
459.7,0.002,0.001,0.0026
466.1,0.0059,0.0019,0.0067
472.6,0.0073,0.0023,0.0084
479.1,0.0035,0.0011,0.004
485.6,0.0027,0.0008,0.0024
492,0.0023,0.0007,0.0019
498.5,0.0025,0.0007,0.0017
505,0.0019,0.0006,0.0012
511.5,0.0014,0.0006,0.0009
517.9,0.0013,0.0005,0.0008
524.4,0.0013,0.0006,0.001
530.9,0.001,0.0006,0.0012
537.4,0.0009,0.0007,0.0013
543.8,0.0011,0.0006,0.0012
550.3,0.0011,0.0006,0.0014
556.8,0.0013,0.0006,0.0015
563.3,0.0016,0.0007,0.0024
569.7,0.0021,0.0007,0.003
576.2,0.0023,0.0006,0.0024
582.7,0.0015,0.0006,0.0017
589.2,0.0009,0.0006,0.0014
595.6,0.0008,0.0005,0.0019
602.1,0.0012,0.0006,0.0024
608.6,0.0012,0.0006,0.0023
615.1,0.0009,0.0007,0.0025
621.5,0.0007,0.0006,0.0025
628,0.0008,0.0005,0.0027
634.5,0.0011,0.0005,0.0033
641,0.0013,0.0005,0.0035
647.4,0.0011,0.0006,0.0026
653.9,0.0008,0.0006,0.0019
660.4,0.0008,0.0006,0.0022
666.9,0.001,0.0005,0.0022
673.3,0.0011,0.0004,0.0023
679.8,0.0008,0.0005,0.0019
686.3,0.0008,0.0004,0.0017
692.8,0.0011,0.0004,0.0023
699.2,0.0013,0.0004,0.0022
705.7,0.0013,0.0005,0.0021
712.2,0.0011,0.0004,0.0021
718.7,0.0011,0.0004,0.0019
725.1,0.0009,0.0004,0.0018
731.6,0.0009,0.0004,0.0018
738.1,0.0009,0.0004,0.0026
744.6,0.0012,0.0005,0.0042
751,0.0017,0.0006,0.006
757.5,0.0016,0.0005,0.006
764,0.0013,0.0005,0.0044
770.5,0.0011,0.0005,0.0034
776.9,0.001,0.0005,0.0031
783.4,0.0011,0.0005,0.0033
789.9,0.0011,0.0005,0.0039
796.4,0.001,0.0006,0.004
802.8,0.0008,0.0006,0.0042
809.3,0.0007,0.0007,0.0044
815.8,0.0009,0.0007,0.0051
822.3,0.0011,0.0009,0.0064
828.7,0.001,0.0009,0.0068
835.2,0.0012,0.001,0.0073
841.7,0.0013,0.0009,0.0064
848.1,0.0012,0.0008,0.0067
854.6,0.0012,0.001,0.0079
861.1,0.0013,0.0009,0.0072
867.6,0.0014,0.0007,0.0059
874,0.0013,0.0007,0.005
880.5,0.0016,0.0008,0.0097
887,0.0014,0.0008,0.009
893.5,0.0011,0.0008,0.0041
899.9,0.0011,0.0008,0.004
906.4,0.0008,0.0007,0.0032
912.9,0.0007,0.0009,0.003
919.4,0.0007,0.0007,0.003
925.8,0.0008,0.001,0.004
932.3,0.0014,0.0021,0.0111
938.8,0.0045,0.0068,0.0368
945.3,0.0045,0.0068,0.0364
951.7,0.0016,0.0018,0.0098
958.2,0.0011,0.0009,0.0052
964.7,0.0012,0.0007,0.0051
971.2,0.0013,0.0006,0.0066
977.6,0.0011,0.0006,0.0068
984.1,0.001,0.0005,0.0071
990.6,0.0008,0.0005,0.0068
997.1,0.0006,0.0007,0.0068
1003.5,0.0006,0.0007,0.0085
1010,0.0006,0.0006,0.0081
1016.5,0.0005,0.0007,0.0068
1023,0.0005,0.0008,0.0066
1029.4,0.0005,0.0008,0.0069
1035.9,0.0005,0.0009,0.0075
1042.4,0.0005,0.0013,0.0084
1048.9,0.0007,0.0021,0.0143
1055.3,0.0017,0.0052,0.0339
1061.8,0.0014,0.0048,0.028
1068.3,0.0008,0.0018,0.012
1074.8,0.0007,0.0009,0.0111
1081.2,0.0007,0.001,0.0097
1087.7,0.0008,0.0008,0.0109
1094.2,0.0007,0.0007,0.0124
1100.7,0.0005,0.0008,0.0137
1107.1,0.0006,0.0007,0.0136
1113.6,0.0007,0.0006,0.0184
1120.1,0.0007,0.0008,0.0217
1126.6,0.0006,0.0007,0.0189
1133,0.0007,0.0005,0.0171
1139.5,0.0008,0.0006,0.0214
1146,0.0009,0.0006,0.0219
1152.5,0.001,0.0008,0.0314
1158.9,0.0013,0.0011,0.044
1165.4,0.0017,0.0011,0.0553
1171.9,0.004,0.0017,0.0963
1178.4,0.0053,0.0023,0.1171
1184.8,0.0038,0.0023,0.1029
1191.3,0.0036,0.0022,0.0941
1197.8,0.0031,0.0019,0.0796
1204.3,0.0028,0.0016,0.0641
1210.7,0.0032,0.0017,0.0696
1217.2,0.0031,0.0016,0.0691
1223.7,0.0028,0.0014,0.0645
1230.2,0.0027,0.0013,0.0555
1236.6,0.0025,0.0011,0.053
1243.1,0.0021,0.0009,0.0411
1249.6,0.0015,0.0006,0.0266
1256,0.0014,0.0006,0.0228
1262.5,0.0014,0.0005,0.0195
1269,0.0015,0.0005,0.0191
1275.5,0.0018,0.0005,0.0188
1281.9,0.0025,0.0005,0.0176
1288.4,0.0081,0.0006,0.0323
1294.9,0.0248,0.0013,0.0828
1301.4,0.0215,0.001,0.0707
1307.8,0.0049,0.0006,0.0206
1314.3,0.0019,0.0005,0.0157
1320.8,0.0015,0.0005,0.014
1327.3,0.0013,0.0005,0.0125
1333.7,0.0011,0.0005,0.0128
1340.2,0.0012,0.0005,0.0122
1346.7,0.0014,0.0005,0.0148
1353.2,0.0027,0.0008,0.0322
1359.6,0.0023,0.0008,0.03
1366.1,0.0014,0.0007,0.0176
1372.6,0.0014,0.0007,0.0181
1379.1,0.0012,0.0007,0.0149
1385.5,0.0009,0.0006,0.011
1392,0.0008,0.0006,0.0101
1398.5,0.0007,0.0006,0.008
1405,0.0007,0.0008,0.0107
1411.4,0.0011,0.0015,0.0232
1417.9,0.0012,0.0012,0.0164
1424.4,0.0007,0.0005,0.007
1430.9,0.0005,0.0005,0.0059
1437.3,0.0005,0.0007,0.0061
1443.8,0.0006,0.0007,0.0065
1450.3,0.0007,0.0006,0.0064
1456.8,0.0007,0.0005,0.0055
1463.2,0.0007,0.0005,0.0052
1469.7,0.0007,0.0005,0.0065
1476.2,0.0007,0.0005,0.006
1482.7,0.0008,0.0005,0.005
1489.1,0.001,0.0006,0.007
1495.6,0.0011,0.0006,0.0082
1502.1,0.0012,0.0006,0.0083
1508.6,0.0011,0.0006,0.0083
1515,0.0011,0.0006,0.0084
1521.5,0.0008,0.0005,0.0068
1528,0.0009,0.0005,0.0076
1534.5,0.0014,0.0005,0.0154
1540.9,0.0015,0.0005,0.0158
1547.4,0.0009,0.0005,0.0085
1553.9,0.001,0.0006,0.0091
1560.4,0.0009,0.0006,0.0082
1566.8,0.0007,0.0005,0.0065
1573.3,0.0008,0.0005,0.0062
1579.8,0.0008,0.0005,0.0062
1586.3,0.0008,0.0004,0.0063
1592.7,0.0008,0.0004,0.0061
1599.2,0.0006,0.0004,0.0053
1605.7,0.0006,0.0004,0.005
1612.2,0.0005,0.0004,0.0043
1618.6,0.0005,0.0004,0.0043
1625.1,0.0005,0.0004,0.0046
1631.6,0.0005,0.0004,0.0046
1638.1,0.0005,0.0003,0.0052
1644.5,0.0006,0.0004,0.0058
1651,0.0007,0.0004,0.0061
1657.5,0.0007,0.0004,0.0055
1663.9,0.0006,0.0004,0.0055
1670.4,0.0006,0.0004,0.0065
1676.9,0.0007,0.0004,0.0073
1683.4,0.0008,0.0004,0.0076
1689.8,0.0009,0.0004,0.0068
1696.3,0.0009,0.0004,0.006
1702.8,0.0008,0.0004,0.0065
1709.3,0.0008,0.0004,0.0057
1715.7,0.0008,0.0004,0.0051
1722.2,0.0009,0.0004,0.0059
1728.7,0.001,0.0004,0.0061
1735.2,0.0009,0.0003,0.0059
1741.6,0.001,0.0004,0.006
1748.1,0.0012,0.0004,0.0061
1754.6,0.0011,0.0004,0.0051
1761.1,0.001,0.0004,0.0045
1767.5,0.0012,0.0004,0.0051
1774,0.0012,0.0005,0.0053
1780.5,0.0013,0.0005,0.0047
1787,0.0014,0.0005,0.0058
1793.4,0.0014,0.0005,0.0061
1799.9,0.0013,0.0005,0.0058
1806.4,0.0015,0.0006,0.0069
1812.9,0.0015,0.0006,0.0077
1819.3,0.0016,0.0007,0.0074
1825.8,0.0017,0.0007,0.0076
1832.3,0.0013,0.0005,0.0069
1838.8,0.0012,0.0005,0.0068
1845.2,0.0014,0.0006,0.0072
1851.7,0.0013,0.0006,0.0063
1858.2,0.0013,0.0006,0.0062
1864.7,0.0013,0.0006,0.0066
1871.1,0.0011,0.0005,0.0054
1877.6,0.0019,0.0009,0.0055
1884.1,0.0033,0.0013,0.0074
1890.6,0.0019,0.0008,0.0075
1897,0.0011,0.0006,0.0054
1903.5,0.0009,0.0005,0.0042
1910,0.0009,0.0005,0.0042
1916.5,0.0008,0.0005,0.0048
1922.9,0.0008,0.0005,0.0062
1929.4,0.0008,0.0006,0.0071
1935.9,0.0008,0.0005,0.0069
1942.4,0.001,0.0004,0.0076
1948.8,0.001,0.0004,0.0085
1955.3,0.0008,0.0004,0.0077
1961.8,0.0009,0.0005,0.0088
1968.3,0.001,0.0005,0.0097
1974.7,0.0011,0.0006,0.0105
1981.2,0.0011,0.0006,0.0116
1987.7,0.0013,0.0007,0.0138
1994.2,0.0017,0.0009,0.0174
2000.6,0.0016,0.001,0.0168
2007.1,0.0018,0.001,0.0175
2013.6,0.002,0.0012,0.0206
2020.1,0.002,0.0012,0.0195
2026.5,0.0019,0.0013,0.0201
2033,0.0022,0.0015,0.0218
2039.5,0.0021,0.0013,0.0187
2046,0.002,0.0012,0.016
2052.4,0.0019,0.0013,0.0146
2058.9,0.0015,0.0011,0.0109
2065.4,0.0015,0.0012,0.011
2071.8,0.0016,0.0012,0.0112
2078.3,0.0015,0.0011,0.0101
